1  
0
0
      Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
1981 16.8 16.1 18.5 17.7 18.9 21.4 22.1 22.8 22.9 21.7 21.3 18.9
1982 17.7 17.3 17.6 18.0 19.5 21.0 23.1 22.9 22.7 21.9 20.0 17.4
1983 16.9 17.0 18.3 18.7 18.9 21.9 22.5 22.9 24.4 23.9 21.0 18.9
1984 17.6 17.2 17.7 19.1 19.2 20.6 23.7 22.9 23.1 22.3 19.9 18.1
1985 16.8 17.3 17.8 18.7 18.9 22.1 22.8 24.3 24.0 22.8 20.8 18.4
1986 17.3 16.9 17.2 17.5 19.8 20.3 21.8 23.2 23.8 21.9 19.7 18.0
1987 17.5 17.8 19.2 19.8 20.4 22.3 22.9 24.2 25.8 22.3 21.3 19.3
1988 17.7 17.4 18.4 18.8 20.1 21.7 23.6 24.3 23.7 22.4 20.8 18.9
1989 17.6 18.0 18.9 18.2 20.0 22.4 24.3 25.4 24.5 23.9 20.7 19.6
1990 17.7 19.7 20.5 18.7 20.7 22.1 23.7 26.2 24.3 23.1 21.2 19.2
1991 17.6 17.0 17.9 17.9 18.9 21.0 22.7 23.3 24.3 21.6 20.2 18.5
1992 17.4 17.4 18.0 18.8 19.6 20.8 22.6 23.4 22.8 21.6 20.0 17.8
1993 16.8 16.9 17.4 17.9 19.0 20.9 22.3 22.9 22.6 21.3 18.8 18.1
1994 16.8 17.0 17.4 18.5 19.6 21.7 23.6 23.9 23.2 22.1 21.2 19.7
1995 18.1 18.5 18.8 19.5 21.2 22.3 24.3 24.3 23.8 23.5 21.8 19.4
1996 18.7 17.6 17.9 19.2 21.4 22.0 23.2 23.8 23.5 23.0 21.1 19.1
1997 18.2 19.6 20.0 20.0 20.9 22.7 23.2 23.8 23.9 23.3 22.3 20.2
1998 19.3 20.6 20.8 19.7 20.1 22.2 23.2 24.5 24.6 23.4 22.5 19.4
1999 18.1 18.0 18.7 20.1 20.9 22.2 24.1 25.6 24.6 23.0 21.2 18.6
2000 17.2 18.6 19.5 19.2 20.3 21.9 23.4 24.3 24.2 22.6 20.6 19.8
2001 18.9 18.7 20.0 19.6 20.5 22.3 23.4 24.4 24.2 23.7 20.8 20.1
2002 18.8 18.8 19.4 20.0 20.1 21.8 22.2 23.0 23.7 24.4 21.7 19.9
2003 17.7 17.3 18.5 19.0 20.8 22.2 23.6 24.4 23.9 22.3 20.0 18.7
2004 17.6 18.4 18.2 18.4 19.3 22.4 24.3 25.8 24.4 23.4 21.1 18.3
2005 16.9 16.1 18.2 19.1 20.4 21.9 23.3 24.1 24.6 23.0 20.4 18.5
2006 16.9 17.2 17.9 19.2 20.2 21.8 23.4 24.2 24.7 22.9 21.9 18.4
2007 17.8 17.7 17.8 18.8 20.7 22.0 24.1 23.3 22.9 22.6 20.8 18.8
2008 18.5 18.6 18.8 21.2 21.0 22.2 23.5 23.9 23.3 21.8 19.3 17.7
2009 16.9 16.8 18.5 18.7 20.0 22.4 25.0 24.8 23.7 23.9 22.0 20.9
2010 18.9 20.1 20.1 20.7 21.0 22.3 23.7 25.1 24.4 23.0 21.5 20.4
2011 18.4 17.8 17.7 19.2 20.9 23.1 23.4 23.8 24.0 23.5 20.7 19.4
2012 18.0 16.8 18.5 18.5 21.8 23.6 24.2 25.6 24.7 23.5 21.6 19.4
2013 18.5 18.3 19.6 20.6 20.6 21.8 23.5 25.8 24.3 23.6 21.4 19.6
